id,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18
N   1,5385.5684,5651.3857,5976.72,6067.1875,6619.5576,6420.196,,,,,,,,,,,,
N   2,4073.2344,4003.222,3977.8584,4002.3828,3874.7917,3836.383,,,,,,,,,,,,
N   3,3377.9402,3331.8967,3281.835,3273.6433,3145.4277,3109.1707,,,,,,,,,,,,
N   4,4413.7217,4243.023,4067.0378,4171.6436,4116.1567,4183.782,,,,,,,,,,,,
N   5,5324.6045,5307.907,5285.6885,5232.378,5120.2236,5018.779,,,,,,,,,,,,
N   6,4237.4893,4366.5234,4541.876,4568.791,4782.6895,4656.5015,,,,,,,,,,,,
N   7,5162.338,5270.563,5438.024,5466.6953,5656.9077,5533.139,,,,,,,,,,,,
N   8,8618.205,8711.293,8535.645,8822.596,9672.909,9608.042,,,,,,,,,,,,
N   9,4855.8564,4665.7075,4525.43,4618.966,4466.9126,4483.3706,,,,,,,,,,,,
N  10,10286.883,10734.808,11420.068,11596.398,12536.971,12185.104,,,,,,,,,,,,
N  11,5195.1655,5314.9634,5352.1206,5436.0796,5777.8257,5671.0093,,,,,,,,,,,,
N  12,5435.3125,5735.3477,6090.3975,6202.097,6855.386,6644.239,,,,,,,,,,,,
N  13,6476.7954,6784.0312,7212.9536,7321.3374,7959.99,7725.799,,,,,,,,,,,,
N  14,3541.4219,3264.9814,2919.2952,2981.4297,2879.2537,3001.0063,,,,,,,,,,,,
N  15,5654.96,5884.2246,6163.543,6231.712,6674.536,6488.242,,,,,,,,,,,,
N  16,6004.515,6157.298,6371.371,6395.856,6612.0566,6445.1562,,,,,,,,,,,,
N  17,6367.1714,6642.5293,7056.296,7141.763,7678.509,7447.309,,,,,,,,,,,,
N  18,9158.544,9170.391,9025.087,9136.567,9365.669,9320.979,,,,,,,,,,,,
N  19,5927.416,6135.7583,6483.583,6571.9517,6997.844,6815.2744,,,,,,,,,,,,
N  20,10757.875,11282.818,11840.583,12064.625,13269.134,12858.018,,,,,,,,,,,,
N  21,9383.76,9621.89,10023.936,10162.734,10685.416,10477.632,,,,,,,,,,,,
N  22,5108.9805,5092.317,4907.0327,5015.3164,5243.7856,5247.08,,,,,,,,,,,,
N  23,3167.028,3063.2422,3044.2856,3107.036,3055.9648,3045.3892,,,,,,,,,,,,
N  24,6615.6914,6958.3447,7393.6543,7495.0015,8192.788,7932.617,,,,,,,,,,,,
N  25,5183.8105,5386.715,5631.954,5693.793,6083.462,5917.9746,,,,,,,,,,,,
N  26,8944.945,9151.647,9246.205,9371.6875,9919.858,9746.195,,,,,,,,,,,,
N  27,3522.8462,3686.3127,3853.7532,3930.4292,4343.632,4231.651,,,,,,,,,,,,
N  28,12743.75,13459.39,14249.745,14522.574,16118.945,15608.812,,,,,,,,,,,,
N  29,3804.8027,3916.644,4272.6675,4381.533,4735.1646,4579.8364,,,,,,,,,,,,
N  30,5693.7485,5844.016,6059.4917,6111.1216,6378.586,6223.809,,,,,,,,,,,,
N  31,7353.8276,7695.506,8120.513,8240.949,8952.289,8692.098,,,,,,,,,,,,
N  32,5686.389,5886.7666,6041.5527,6118.311,6567.431,6393.293,,,,,,,,,,,,
N  33,3716.1018,3498.4326,3176.4587,3248.094,3179.6462,3271.9595,,,,,,,,,,,,
N  34,7580.2,7477.42,7422.585,7492.372,7339.6553,7277.38,,,,,,,,,,,,
N  35,3377.9402,3331.8967,3281.835,3273.6433,3145.4277,3109.1707,,,,,,,,,,,,
N  36,3313.1187,3516.987,3753.6963,3831.8677,4292.9673,4149.469,,,,,,,,,,,,
N  37,1858.6182,1823.888,1725.3927,1790.2959,1896.4352,1933.1571,,,,,,,,,,,,
N  38,8589.425,9086.317,9712.537,9885.316,10948.814,10594.756,,,,,,,,,,,,
N  39,3424.7031,3585.7583,3749.3157,3809.1484,4162.493,4036.2573,,,,,,,,,,,,
N  40,2734.1174,2891.392,3044.2551,3114.8042,3496.0842,3389.527,,,,,,,,,,,,
N  41,5382.413,5529.9346,5647.8535,5755.5264,6186.6616,6084.708,,,,,,,,,,,,
N  42,4136.0156,4339.961,4561.913,4640.791,5086.975,4933.3247,,,,,,,,,,,,
N  43,8461.978,9013.81,9702.175,9900.084,11114.656,10730.649,,,,,,,,,,,,
N  44,4922.323,5121.236,5397.0083,5445.207,5817.473,5640.024,,,,,,,,,,,,
N  45,5413.1626,5587.7764,5768.206,5845.4497,6222.045,6068.29,,,,,,,,,,,,
N  46,5601.0,5790.21,5975.258,6014.0586,6352.6284,6171.6343,,,,,,,,,,,,
N  47,4045.1094,3900.499,3825.8252,3912.539,3850.355,3894.662,,,,,,,,,,,,
N  48,4531.6636,4751.129,4947.7827,5046.6753,5575.7627,5417.9497,,,,,,,,,,,,
N  49,6259.6147,6297.987,6144.33,6326.013,6807.285,6798.1816,,,,,,,,,,,,
N  50,5133.7173,5052.8877,4985.363,5084.6626,5101.948,5116.765,,,,,,,,,,,,
N  51,4846.2783,4835.0967,4839.9707,4827.5127,4693.5254,4575.274,,,,,,,,,,,,
N  52,6561.7827,6932.807,7384.162,7502.849,8284.348,8008.692,,,,,,,,,,,,
N  53,8178.6875,8499.348,8859.792,9011.002,9740.798,9506.26,,,,,,,,,,,,
N  54,6414.075,6572.9165,6789.5938,6841.833,7171.6943,6965.0596,,,,,,,,,,,,
N  55,3007.1147,2953.546,2929.6338,2953.4429,2850.3845,2802.0054,,,,,,,,,,,,
N  56,5732.14,5967.094,6197.0986,6261.152,6736.5938,6540.7563,,,,,,,,,,,,
N  57,4033.8687,4216.7666,4440.9385,4502.525,4879.4126,4735.4546,,,,,,,,,,,,
N  58,4485.397,4627.9097,4808.4443,4842.156,5087.1484,4949.4346,,,,,,,,,,,,
N  59,4756.9062,4851.8896,4996.2627,5014.58,5137.883,5020.3115,,,,,,,,,,,,
N  60,6266.4834,6197.349,6091.114,6091.6553,5979.456,5901.821,,,,,,,,,,,,
N  61,7842.676,8051.879,8485.538,8641.363,9206.355,9044.472,,,,,,,,,,,,
N  62,6921.7583,7097.108,7181.2935,7279.0474,7742.293,7583.282,,,,,,,,,,,,
N  63,5560.0034,5784.0664,5994.1616,6067.4155,6543.8096,6363.453,,,,,,,,,,,,
N  64,2576.2576,2635.4077,2663.7336,2679.7244,2796.0457,2729.724,,,,,,,,,,,,
N  65,5266.4224,5530.26,5869.5835,5956.909,6500.998,6305.078,,,,,,,,,,,,
N  66,6090.784,6164.304,6265.6035,6334.5967,6533.5225,6445.7124,,,,,,,,,,,,
N  67,4293.791,4321.917,4445.421,4489.463,4557.416,4484.9326,,,,,,,,,,,,
N  68,6117.043,5944.5854,5834.0977,5970.676,5929.2886,5968.3413,,,,,,,,,,,,
N  69,4329.7627,4383.017,4398.67,4351.784,4279.1553,4159.7075,,,,,,,,,,,,
N  70,3753.3494,3867.9707,4042.4941,4080.07,4284.43,4178.415,,,,,,,,,,,,
N  71,7047.8486,7322.262,7722.4062,7841.3057,8454.35,8225.851,,,,,,,,,,,,
N  72,7647.706,7846.6177,8157.2393,8219.797,8553.126,8349.683,,,,,,,,,,,,
N  73,6329.6655,6536.333,6644.565,6829.845,7588.8276,7432.204,,,,,,,,,,,,
N  74,3762.794,3444.1384,3335.0793,3502.372,3279.8108,3299.7175,,,,,,,,,,,,
N  75,6725.7563,7091.52,7519.6284,7630.8735,8388.727,8124.277,,,,,,,,,,,,
N  76,4122.4688,4358.046,4697.1333,4785.0176,5299.1675,5125.7695,,,,,,,,,,,,
N  77,4800.056,5065.473,5444.945,5545.1675,6116.628,5923.3516,,,,,,,,,,,,
N  78,5843.744,6076.9443,6384.903,6458.823,6913.3486,6725.133,,,,,,,,,,,,
N  79,7942.076,7896.6387,7921.328,8086.951,8264.67,8232.024,,,,,,,,,,,,
N  80,5634.672,5677.752,5557.85,5474.039,5293.7485,5168.302,,,,,,,,,,,,
N  81,9425.783,9806.673,10389.904,10506.221,11234.484,10902.934,,,,,,,,,,,,
